2026-06-11T20:10:19.424093+0530 | INFO | memory.session_manager:__init__ | 📁 SessionManager initialized. Storage: C:\Users\joysa\healthcare-chatbot\backend\sessions
2026-06-11T20:10:19.660772+0530 | INFO | main:lifespan | 🚀 Starting Healthcare Chatbot v1.0.0
2026-06-11T20:10:19.660772+0530 | INFO | main:lifespan | Checking Ollama connection...
2026-06-11T20:10:20.049741+0530 | INFO | utils.ollama_client:check_ollama_running | ✅ Ollama is running. Available models: ['llama3:latest']
2026-06-11T20:10:20.331925+0530 | INFO | main:lifespan | ✅ Ready. Models available: ['llama3:latest']
2026-06-11T20:11:41.860985+0530 | INFO | utils.ollama_client:check_ollama_running | ✅ Ollama is running. Available models: ['llama3:latest']
2026-06-11T20:11:42.412161+0530 | INFO | utils.ollama_client:check_ollama_running | ✅ Ollama is running. Available models: ['llama3:latest']
2026-06-11T20:11:48.879452+0530 | INFO | pipeline:run_pipeline | ═══ PIPELINE START ═══ message='hi'
2026-06-11T20:11:48.885967+0530 | INFO | memory.session_manager:create_session | 🆕 Created new session: 33eb3166
2026-06-11T20:11:48.885967+0530 | INFO | pipeline:run_pipeline | New session created: 33eb3166
2026-06-11T20:11:48.900774+0530 | INFO | agents.classifier:classify | 🤖 Classifying with Ollama [llama3]...
2026-06-11T20:12:23.225059+0530 | INFO | agents.classifier:classify | 📊 Classification: intent=greeting, emergency=0, confidence=1.00
2026-06-11T20:12:23.228795+0530 | INFO | pipeline:run_pipeline | Classification: intent=greeting, emergency=0, confidence=1.00
2026-06-11T20:12:23.249720+0530 | INFO | agents.decision_engine:decide | 🔀 Decision Engine: intent=greeting, emergency=0
2026-06-11T20:12:23.249720+0530 | INFO | agents.decision_engine:decide | 👋 Simple greeting route
2026-06-11T20:12:23.249720+0530 | INFO | pipeline:run_pipeline | Decision: action=respond, skip_llm=False
2026-06-11T20:12:23.257298+0530 | INFO | agents.responder:generate | 💬 Generating response for intent=greeting
2026-06-11T20:12:44.539894+0530 | INFO | pipeline:run_pipeline | ═══ PIPELINE END ═══ session=33eb3166, safe=True
2026-06-11T20:13:58.224140+0530 | INFO | pipeline:run_pipeline | ═══ PIPELINE START ═══ message='i have a mild fever and headache . what are the treatments s'
2026-06-11T20:13:58.295346+0530 | INFO | pipeline:run_pipeline | Existing session: 33eb3166
2026-06-11T20:13:58.309519+0530 | INFO | agents.classifier:classify | 🤖 Classifying with Ollama [llama3]...
2026-06-11T20:14:20.822221+0530 | INFO | agents.classifier:classify | 📊 Classification: intent=symptom_check, emergency=1, confidence=0.90
2026-06-11T20:14:20.822221+0530 | INFO | pipeline:run_pipeline | Classification: intent=symptom_check, emergency=1, confidence=0.90
2026-06-11T20:14:20.841303+0530 | INFO | agents.decision_engine:decide | 🔀 Decision Engine: intent=symptom_check, emergency=1
2026-06-11T20:14:20.842307+0530 | INFO | agents.decision_engine:decide | 🏥 Medical route: needs_search=True, needs_memory=False
2026-06-11T20:14:20.842307+0530 | INFO | pipeline:run_pipeline | Decision: action=respond, skip_llm=False
2026-06-11T20:14:20.842307+0530 | INFO | pipeline:run_pipeline | 🔍 Performing web search...
2026-06-11T20:14:20.844315+0530 | INFO | agents.web_search:search | 🔍 Web search: 'i have a mild fever and headache . what are the treatments should i take or tell me i can solve it from home'
2026-06-11T20:14:21.741769+0530 | ERROR | agents.web_search:search | DuckDuckGo search failed: unsupported format string passed to datetime.timedelta.__format__
2026-06-11T20:14:21.741769+0530 | INFO | pipeline:run_pipeline | Found 0 search results
2026-06-11T20:14:21.742920+0530 | INFO | agents.responder:generate | 💬 Generating response for intent=symptom_check
2026-06-11T20:15:44.892989+0530 | INFO | pipeline:run_pipeline | ═══ PIPELINE END ═══ session=33eb3166, safe=True
2026-06-11T20:16:29.692592+0530 | INFO | pipeline:run_pipeline | ═══ PIPELINE START ═══ message='i have severe chest pain'
2026-06-11T20:16:29.745618+0530 | INFO | pipeline:run_pipeline | Existing session: 33eb3166
2026-06-11T20:16:29.747761+0530 | WARNING | agents.preprocessor:process | 🚨 Emergency keywords detected: ['chest pain']
2026-06-11T20:16:29.753604+0530 | WARNING | agents.classifier:classify | 🚨 Emergency fast-path triggered: ['chest pain']
2026-06-11T20:16:29.753604+0530 | INFO | pipeline:run_pipeline | Classification: intent=emergency, emergency=4, confidence=1.00
2026-06-11T20:16:29.782739+0530 | INFO | agents.decision_engine:decide | 🔀 Decision Engine: intent=emergency, emergency=4
2026-06-11T20:16:29.784258+0530 | WARNING | agents.decision_engine:decide | 🚨 CRITICAL emergency detected — emergency_stop route
2026-06-11T20:16:29.784258+0530 | INFO | pipeline:run_pipeline | Decision: action=emergency_stop, skip_llm=True
2026-06-11T20:16:55.475541+0530 | INFO | pipeline:run_pipeline | ═══ PIPELINE START ═══ message='i am bleeding from nose'
2026-06-11T20:16:55.507694+0530 | INFO | pipeline:run_pipeline | Existing session: 33eb3166
2026-06-11T20:16:55.512049+0530 | INFO | agents.classifier:classify | 🤖 Classifying with Ollama [llama3]...
2026-06-11T20:17:15.846227+0530 | INFO | agents.classifier:classify | 📊 Classification: intent=symptom_check, emergency=2, confidence=0.90
2026-06-11T20:17:15.846227+0530 | INFO | pipeline:run_pipeline | Classification: intent=symptom_check, emergency=2, confidence=0.90
2026-06-11T20:17:15.862137+0530 | INFO | agents.decision_engine:decide | 🔀 Decision Engine: intent=symptom_check, emergency=2
2026-06-11T20:17:15.864143+0530 | INFO | agents.decision_engine:decide | 🏥 Medical route: needs_search=True, needs_memory=False
2026-06-11T20:17:15.864143+0530 | INFO | pipeline:run_pipeline | Decision: action=respond, skip_llm=False
2026-06-11T20:17:15.864783+0530 | INFO | pipeline:run_pipeline | 🔍 Performing web search...
2026-06-11T20:17:15.865761+0530 | INFO | agents.web_search:search | 🔍 Web search: 'i am bleeding from nose'
2026-06-11T20:17:16.553606+0530 | ERROR | agents.web_search:search | DuckDuckGo search failed: unsupported format string passed to datetime.timedelta.__format__
2026-06-11T20:17:16.553606+0530 | INFO | pipeline:run_pipeline | Found 0 search results
2026-06-11T20:17:16.553606+0530 | INFO | agents.responder:generate | 💬 Generating response for intent=symptom_check
2026-06-11T20:18:20.399951+0530 | INFO | pipeline:run_pipeline | ═══ PIPELINE END ═══ session=33eb3166, safe=True
2026-06-11T20:18:55.805909+0530 | INFO | pipeline:run_pipeline | ═══ PIPELINE START ═══ message='what may be the reason for it'
2026-06-11T20:18:55.883938+0530 | INFO | pipeline:run_pipeline | Existing session: 33eb3166
2026-06-11T20:18:55.890204+0530 | INFO | agents.classifier:classify | 🤖 Classifying with Ollama [llama3]...
2026-06-11T20:19:20.003279+0530 | INFO | agents.classifier:classify | 📊 Classification: intent=symptom_check, emergency=0, confidence=0.80
2026-06-11T20:19:20.003279+0530 | INFO | pipeline:run_pipeline | Classification: intent=symptom_check, emergency=0, confidence=0.80
2026-06-11T20:19:20.025933+0530 | INFO | agents.decision_engine:decide | 🔀 Decision Engine: intent=symptom_check, emergency=0
2026-06-11T20:19:20.028351+0530 | INFO | agents.decision_engine:decide | 🏥 Medical route: needs_search=True, needs_memory=False
2026-06-11T20:19:20.028351+0530 | INFO | pipeline:run_pipeline | Decision: action=respond, skip_llm=False
2026-06-11T20:19:20.028351+0530 | INFO | pipeline:run_pipeline | 🔍 Performing web search...
2026-06-11T20:19:20.028351+0530 | INFO | agents.web_search:search | 🔍 Web search: 'what may be the reason for it'
2026-06-11T20:19:20.577817+0530 | ERROR | agents.web_search:search | DuckDuckGo search failed: unsupported format string passed to datetime.timedelta.__format__
